"fact","region","phi","crop","median","mean","min","max"
"MET","Eastern Europe",2,"M",0.47238808,0.473851551072125,0.37825286,0.60026139
"MET","Eastern Europe",2,"R",0.533929795,0.532978132596154,0.42990009,0.64003178
"MET","Eastern Europe",2,"W",0.466362345,0.462769462162698,0.38375584,0.55411742
"MET","Eastern Europe",3,"M",0.21521134,0.214576696296296,0.16188728,0.26915901
"MET","Eastern Europe",3,"R",0.246187275,0.245639704519231,0.19752669,0.27763051
"MET","Eastern Europe",3,"W",0.229725225,0.225122944623016,0.1625751,0.2565468
"MET","Eastern Europe",4,"M",0.21521134,0.214576696296296,0.16188728,0.26915901
"MET","Eastern Europe",4,"R",0.246187275,0.245639704519231,0.19752669,0.27763051
"MET","Eastern Europe",4,"W",0.229725225,0.225122944623016,0.1625751,0.2565468
"MET","Melanesia",2,"M",0.283524115,0.282909910833333,0.26661629,0.29953633
"MET","Melanesia",2,"R",0.305535815,0.304108223333333,0.27732848,0.32492108
"MET","Melanesia",3,"M",0.13248029,0.1334793575,0.12151023,0.1458031
"MET","Melanesia",3,"R",0.14225972,0.141594435833333,0.12491158,0.15472628
"MET","Melanesia",4,"M",0.13248029,0.1334793575,0.12151023,0.1458031
"MET","Melanesia",4,"R",0.14225972,0.141594435833333,0.12491158,0.15472628
"MET","Middle Africa",2,"M",0.39725868,0.400771829025641,0.25917985,0.5223424
"MET","Middle Africa",2,"R",0.40324118,0.411608700632184,0.27388222,0.57956851
"MET","Middle Africa",2,"W",0.41785354,0.413800394347826,0.2772007,0.48411495
"MET","Middle Africa",3,"M",0.19005278,0.191983945076923,0.14319061,0.25525402
"MET","Middle Africa",3,"R",0.185471835,0.188111585804598,0.14504458,0.24378952
"MET","Middle Africa",3,"W",0.1943319,0.191077908074534,0.14129723,0.21570185
"MET","Middle Africa",4,"M",0.19005278,0.191983945076923,0.14319061,0.25525402
"MET","Middle Africa",4,"R",0.185471835,0.188111585804598,0.14504458,0.24378952
"MET","Middle Africa",4,"W",0.1943319,0.191077908074534,0.14129723,0.21570185
"MET","Northern Africa",2,"M",0.43836388,0.4347996835,0.3148589,0.55369517
"MET","Northern Africa",2,"R",0.48520518,0.482390799012346,0.3926434,0.62938621
"MET","Northern Africa",2,"W",0.43466592,0.4275637296,0.3218038,0.52342033
"MET","Northern Africa",3,"M",0.216239335,0.21512149625,0.1545741,0.27130858
"MET","Northern Africa",3,"R",0.21780414,0.21820862962963,0.17863423,0.26222006
"MET","Northern Africa",3,"W",0.19861235,0.198535768,0.14960081,0.24156471
"MET","Northern Africa",4,"M",0.216239335,0.21512149625,0.1545741,0.27130858
"MET","Northern Africa",4,"R",0.21780414,0.21820862962963,0.17863423,0.26222006
"MET","Northern Africa",4,"W",0.19861235,0.198535768,0.14960081,0.24156471
"MET","Northern America",2,"M",0.51933836,0.515559356781818,0.27210702,0.63021368
"MET","Northern America",2,"R",0.58226865,0.540074566842105,0.31739169,0.65399311
"MET","Northern America",2,"W",0.47767432,0.482781416505824,0.34872914,0.58381377
"MET","Northern America",3,"M",0.23475591,0.234179203254545,0.12831198,0.28078656
"MET","Northern America",3,"R",0.2442051,0.232563736842105,0.14956534,0.27105733
"MET","Northern America",3,"W",0.21057858,0.212017897171381,0.14990504,0.27720311
"MET","Northern America",4,"M",0.23475591,0.234179203254545,0.12831198,0.28078656
"MET","Northern America",4,"R",0.2442051,0.232563736842105,0.14956534,0.27105733
"MET","Northern America",4,"W",0.21057858,0.212017897171381,0.14990504,0.27720311
"MET","Northern Europe",2,"W",0.34343103,0.351759683114754,0.20524092,0.49397333
"MET","Northern Europe",3,"W",0.17564664,0.18104397295082,0.10864545,0.24051132
"MET","Northern Europe",4,"W",0.17564664,0.18104397295082,0.10864545,0.24051132
"MET","South America",2,"M",0.36758671,0.371453000976934,0.11926733,0.59792871
"MET","South America",2,"R",0.39169112,0.389324789471074,0.23507352,0.51825472
"MET","South America",2,"W",0.37707451,0.361169271767554,0.15134809,0.50159352
"MET","South America",3,"M",0.17232558,0.172076570440977,0.057621126,0.27540719
"MET","South America",3,"R",0.18193667,0.180035966099174,0.11929151,0.24307784
